Campaign_ID,Influencer_ID,Campaign_Type,Start_Date,End_Date,Budget_USD,Reach,Impressions,Engagement_Rate,Click_Through_Rate,Conversions,ROI
CM743,320,Brand Awareness,2024-07-14,2024-07-13,6258.0,338330,494014,0.72,10.88,579,17.5
CM1709,268,Product Launch,2024-09-23,2024-10-06,,471974,498985,7.31,9.01,394,6.21
CM2037,258,Giveaway,2024-09-09,2024-09-20,1664.0,797399,848980,2.32,1.4,564,
CM1168,236,Giveaway,2024-04-01,2024-03-28,5323.0,550653,736729,4.79,9.42,163,56.3
CM3601,340,Brand Awareness,2024-10-29,2024-11-09,5363.0,923717,1113777,2.58,9.4,145,41.26
CM4841,328,Giveaway,2024-12-04,2024-12-20,9718.0,216732,298057,7.24,10.2,403,5.16
CM4471,324,Product Launch,2024-08-14,2024-08-05,5453.0,483316,665322,4.67,8.68,891,53.32
CM1614,327,Affiliate,2024-01-16,2024-01-22,9416.0,70360,88332,6.59,3.36,234,34.7
CM430,204,Giveaway,2024-06-12,2024-06-20,3705.0,390871,415416,6.97,5.96,395,56.76
CM3438,267,Affiliate,2024-04-04,2024-04-01,5747.0,2083,199063,9.62,7.08,938,16.62
CM3002,299,Giveaway,2024-06-07,2024-06-19,1421.0,915493,1108029,9.0,12.88,795,1.94
CM2431,345,Product Launch,2024-12-03,2024-12-05,8249.0,559851,701782,4.5,9.87,199,8.33
CM722,337,Brand Awareness,2024-12-14,2024-12-06,2486.0,409632,445578,5.97,10.54,407,22.8
CM1882,296,Giveaway,2024-05-31,2024-05-30,7331.0,176541,246639,3.22,11.56,874,0.9
CM2576,295,Product Launch,2024-04-03,2024-03-25,3228.0,376442,388705,8.7,9.15,978,-5.25
CM3805,133,Affiliate,2024-05-14,2024-05-18,6384.0,27620,221639,9.19,3.61,314,43.14
CM3190,211,Affiliate,2024-02-21,2024-02-25,9640.0,318402,325470,7.45,11.36,208,21.22
CM2199,258,Product Launch,2024-10-13,2024-10-18,4028.0,717846,837024,4.17,5.53,952,25.22
CM1841,338,Brand Awareness,2024-12-07,2024-11-29,2678.0,127272,276282,8.53,9.69,564,59.55
CM3349,297,Affiliate,2024-01-25,2024-01-22,9695.0,352230,524294,9.51,4.96,771,10.64
CM855,297,Brand Awareness,2024-04-06,2024-04-11,8791.0,763431,919317,9.41,7.79,722,-0.36
CM618,279,Product Launch,2024-12-22,2025-01-01,3959.0,655110,760901,2.9,3.4,556,25.27
CM4153,321,Brand Awareness,2024-10-23,2024-10-14,3761.0,841910,871349,1.07,13.72,394,30.09
CM132,211,Brand Awareness,2024-07-29,2024-08-11,1925.0,572692,645716,5.7,9.27,333,
CM3228,245,Brand Awareness,2024-07-18,2024-07-26,1753.0,996774,1114834,0.73,4.88,977,45.55
CM3081,163,Product Launch,2024-11-24,2024-12-04,4731.0,621473,712940,2.97,8.83,275,-6.94
CM1257,249,Giveaway,2024-01-15,2024-01-09,2153.0,275068,279481,6.48,1.99,353,26.82
CM4445,328,Product Launch,2024-12-10,2024-12-20,8134.0,12282,157908,5.72,1.14,71,47.15
CM844,349,Product Launch,2024-02-09,2024-02-01,9851.0,924755,1026148,2.17,13.56,474,18.01
CM3639,342,Giveaway,2024-01-03,2024-01-09,3875.0,261731,420970,9.73,5.32,820,
CM3010,322,Affiliate,2024-08-14,2024-08-06,1224.0,361002,395377,5.55,9.54,520,
CM2195,297,Brand Awareness,2024-04-08,2024-04-22,6417.0,357166,520600,4.72,14.68,179,-0.97
CM2859,343,Giveaway,2024-08-04,2024-08-21,7473.0,586356,735703,6.47,1.87,636,41.07
CM883,204,Affiliate,2024-02-08,2024-02-22,5750.0,279904,353848,6.67,8.28,197,23.98
CM3666,315,Affiliate,2024-08-12,2024-08-04,7371.0,400719,548716,1.83,13.1,63,48.15
CM3238,341,Giveaway,2024-02-11,2024-03-01,7251.0,515591,593706,3.13,10.28,517,5.87
CM329,137,Product Launch,2024-08-24,2024-09-11,6340.0,943614,1131390,8.92,0.54,785,49.0
CM957,302,Giveaway,2024-11-09,2024-11-12,3302.0,709612,799374,4.84,10.42,250,52.88
CM1766,204,Giveaway,2024-03-23,2024-03-30,6443.0,810527,890824,0.7,1.12,149,-9.58
CM1501,339,Affiliate,2024-08-26,2024-08-25,2165.0,849827,1034344,1.95,11.07,94,20.35
CM3313,295,Giveaway,2024-01-10,2024-01-08,7010.0,339637,451249,5.19,5.29,97,11.14
CM508,260,Product Launch,2024-09-21,2024-10-06,8346.0,973512,1010991,4.03,14.09,907,34.39
CM270,291,Brand Awareness,2024-02-25,2024-03-01,4497.0,454648,608691,4.95,8.9,661,-4.34
CM640,273,Affiliate,2024-03-23,2024-04-04,2835.0,119292,265214,9.26,1.41,272,55.48
CM3730,258,Affiliate,2024-07-01,2024-07-15,9361.0,47233,214680,,3.93,503,27.87
CM3843,297,Brand Awareness,2024-04-14,2024-04-25,9453.0,379870,510971,2.71,14.98,380,-1.37
CM2832,291,Giveaway,2024-04-19,2024-04-21,7785.0,127026,326285,,3.24,902,42.36
CM713,323,Product Launch,2024-03-02,2024-03-01,9051.0,185307,367673,2.74,1.93,628,36.19
CM2145,317,Product Launch,2024-01-28,2024-01-26,3089.0,280709,315178,8.94,6.03,201,7.73
CM2125,348,Affiliate,2024-02-29,2024-03-15,,388031,466926,1.2,5.56,208,0.2
CM3765,172,Affiliate,2024-04-01,2024-03-22,9984.0,246954,305346,3.3,11.52,722,22.8
CM1261,340,Affiliate,2024-05-28,2024-05-28,9716.0,174753,213328,3.38,9.29,822,4.58
CM2291,328,Giveaway,2024-11-17,2024-11-15,5668.0,673661,809919,3.43,6.36,999,55.14
CM2617,329,Giveaway,2024-05-31,2024-05-24,1719.0,77031,163254,9.34,4.64,872,-3.78
CM3147,299,Product Launch,2024-12-06,2024-12-22,3958.0,482818,544879,,3.36,102,-1.83
CM3162,271,Product Launch,2024-01-29,2024-01-20,793.0,967163,1166030,7.28,13.14,517,23.77
CM1717,329,Brand Awareness,2024-08-19,2024-08-09,8968.0,172317,275622,3.28,9.18,55,-9.51
CM2439,327,Product Launch,2024-11-13,2024-11-06,7317.0,919531,1101757,3.89,9.88,355,
CM664,349,Product Launch,2024-02-16,2024-02-29,1589.0,326053,488910,6.68,8.98,771,28.95
CM3905,350,Brand Awareness,2024-09-20,2024-09-23,6530.0,932882,1106407,0.95,4.76,986,21.16
CM4820,333,Giveaway,2024-09-15,2024-09-18,9246.0,329700,395008,2.89,7.98,778,23.77
CM4919,225,Brand Awareness,2024-10-26,2024-10-27,2026.0,946067,961034,6.73,6.28,633,21.15
CM2904,296,Product Launch,2024-12-12,2024-12-23,2916.0,158873,276215,,7.23,123,21.15
CM3460,306,Product Launch,2024-02-16,2024-03-02,9240.0,914758,979964,7.55,10.46,65,2.14
CM1657,329,Brand Awareness,2024-10-05,2024-10-04,6505.0,868344,999515,6.76,2.66,147,41.28
CM3043,279,Product Launch,2024-03-12,2024-03-10,9274.0,437196,575355,8.52,4.83,936,11.88
CM3804,333,Affiliate,2024-09-13,2024-09-08,3383.0,574709,726350,2.59,3.36,983,46.05
CM1865,236,Giveaway,2024-12-09,2024-12-12,6742.0,203565,208474,4.11,14.58,537,24.74
CM4498,347,Product Launch,2024-04-21,2024-04-22,1163.0,388438,398743,3.6,5.3,107,
CM2794,204,Affiliate,2024-02-07,2024-02-08,5492.0,421349,464630,1.81,6.53,91,29.77
CM4766,321,Product Launch,2024-03-03,2024-03-09,4402.0,189812,220887,,1.88,917,37.81
CM5040,247,Brand Awareness,2024-05-23,2024-05-15,7502.0,443333,516324,9.63,5.04,870,7.24
CM1272,296,Affiliate,2024-05-28,2024-06-02,9093.0,766230,896779,7.43,12.96,947,24.29
CM4621,339,Giveaway,2024-10-29,2024-11-17,1807.0,14891,175444,7.35,3.52,345,27.62
CM425,314,Affiliate,2024-08-10,2024-08-20,3304.0,840894,874697,,1.59,974,49.99
CM1151,340,Brand Awareness,2024-09-28,2024-09-29,1742.0,507583,528584,8.08,13.95,710,-6.98
CM3237,345,Product Launch,2024-10-13,2024-10-21,6180.0,947066,1106129,8.98,11.55,301,25.02
CM5090,278,Product Launch,2024-03-28,2024-03-20,835.0,566082,587091,8.51,4.61,515,52.19
CM3174,345,Affiliate,2024-12-18,2024-12-23,6596.0,610342,708238,7.46,5.1,759,-6.34
CM4947,278,Brand Awareness,2024-04-10,2024-04-19,9206.0,342030,535198,1.76,2.85,407,44.14
CM1769,273,Giveaway,2024-03-20,2024-04-04,9403.0,24519,157967,9.94,4.26,829,58.45
CM1296,324,Affiliate,2024-11-21,2024-11-14,2872.0,12290,48140,0.59,9.59,467,50.94
CM720,163,Giveaway,2024-06-05,2024-06-18,3399.0,645927,827850,2.36,13.29,581,-2.99
CM1626,296,Giveaway,2024-11-27,2024-12-01,1094.0,231324,370118,1.82,2.55,982,47.31
CM3166,350,Giveaway,2024-03-01,2024-03-14,5026.0,422501,483641,3.85,11.31,461,31.81
CM1582,322,Giveaway,2024-12-28,2024-12-30,7318.0,56210,197889,1.24,3.22,305,57.45
CM1289,336,Giveaway,2024-09-14,2024-09-12,6184.0,894708,944522,1.68,11.32,983,36.03
CM428,338,Giveaway,2024-03-06,2024-02-25,7348.0,4841,109679,1.03,12.84,751,20.28
CM748,343,Product Launch,2024-01-08,2024-01-25,1589.0,412577,521692,,4.35,918,50.57
CM997,306,Giveaway,2024-12-21,2024-12-23,7467.0,96343,248165,6.29,6.2,793,0.13
CM2193,271,Brand Awareness,2024-10-10,2024-09-30,3837.0,41409,159610,8.31,3.48,131,47.81
CM1223,314,Giveaway,2024-01-29,2024-02-07,7554.0,172966,368728,9.45,12.15,510,21.61
CM2180,344,Brand Awareness,2024-01-01,2024-01-04,4967.0,860366,1000646,8.44,9.37,119,
CM4885,211,Giveaway,2024-03-27,2024-03-31,5068.0,74836,169871,4.35,3.94,828,
CM3920,291,Product Launch,2024-06-01,2024-06-11,4705.0,294996,462317,2.46,10.66,600,13.5
CM3644,204,Giveaway,2024-03-10,2024-03-21,4672.0,604546,774570,4.08,13.44,80,12.86
CM2235,338,Affiliate,2024-01-15,2024-01-28,3069.0,464558,607956,7.01,12.18,244,57.47
CM2578,247,Giveaway,2024-10-15,2024-10-28,7673.0,432954,560880,3.8,1.09,18,7.15
CM1700,157,Giveaway,2024-02-14,2024-02-05,2654.0,492986,555899,3.55,5.12,189,-8.79
CM3629,324,Brand Awareness,2024-05-30,2024-05-26,4776.0,245734,247957,2.98,8.19,524,-1.16
CM2382,236,Giveaway,2024-11-28,2024-11-25,8348.0,902036,1056630,2.35,11.7,250,7.84
CM1619,336,Brand Awareness,2024-02-07,2024-02-22,2186.0,320139,517755,3.75,1.12,340,5.27
CM4803,323,Product Launch,2024-02-16,2024-03-03,7587.0,628800,817825,8.94,8.32,436,42.17
CM3567,241,Affiliate,2024-06-27,2024-06-23,7215.0,258034,452510,0.74,4.77,924,22.54
CM1123,297,Product Launch,2024-03-17,2024-04-01,1454.0,603260,745956,8.35,1.21,221,13.45
CM4668,302,Affiliate,2024-08-23,2024-09-10,4199.0,399009,500913,1.16,8.31,845,-7.9
CM4222,249,Product Launch,2024-05-07,2024-05-24,8964.0,818364,917933,,7.49,81,-9.63
CM3570,324,Giveaway,2024-07-07,2024-07-11,9462.0,710914,761239,0.96,7.54,451,22.26
CM4951,204,Brand Awareness,2024-09-06,2024-08-29,8295.0,288669,311035,1.07,9.86,106,28.36
CM4718,268,Affiliate,2024-10-03,2024-10-18,7690.0,961838,972659,,2.47,926,27.18
CM4331,342,Product Launch,2024-05-13,2024-05-31,5460.0,419908,455340,6.27,0.68,107,50.0
CM909,211,Brand Awareness,2024-04-13,2024-04-24,6776.0,472091,636241,3.97,5.42,701,-0.09
CM3135,236,Affiliate,2024-05-10,2024-05-06,4091.0,604508,775019,5.45,7.12,523,40.59
CM1078,263,Giveaway,2024-03-29,2024-03-23,3949.0,163198,261402,8.8,3.26,952,42.86
CM2329,133,Brand Awareness,2024-11-09,2024-11-15,3253.0,918533,988050,3.28,6.41,18,4.29
CM4165,347,Giveaway,2024-03-08,2024-03-20,3020.0,446489,552557,9.16,3.77,880,29.63
CM1981,334,Product Launch,2024-03-24,2024-03-31,7599.0,512415,643028,4.66,12.31,48,4.85
CM1962,335,Affiliate,2024-07-16,2024-07-09,9717.0,746216,804681,3.76,8.29,713,3.57
CM4086,330,Brand Awareness,2024-10-04,2024-10-16,4807.0,451757,627774,0.98,0.47,593,13.61
CM2134,211,Giveaway,2024-03-02,2024-03-15,9445.0,290010,410402,9.56,10.09,861,47.62
CM2849,218,Giveaway,2024-04-12,2024-05-01,9900.0,441844,586785,3.96,8.94,117,-9.01
CM1762,211,Giveaway,2024-08-15,2024-08-18,8479.0,958265,1049501,8.18,0.29,443,42.15
CM2116,292,Affiliate,2024-08-02,2024-07-24,2148.0,623503,644141,3.38,0.85,671,-1.63
CM4509,258,Affiliate,2024-01-14,2024-01-16,6046.0,115432,255991,9.3,12.95,942,34.77
CM274,345,Giveaway,2024-10-28,2024-11-15,7058.0,618690,749660,6.98,9.72,222,9.11
CM5048,323,Product Launch,2024-08-09,2024-08-23,9473.0,993309,1089250,6.88,13.22,122,7.22
CM4387,333,Affiliate,2024-03-29,2024-03-30,6156.0,843827,934455,1.13,13.58,208,0.06
CM1752,273,Giveaway,2024-07-27,2024-08-11,3124.0,566176,678123,1.41,12.53,660,-1.7
CM4700,279,Product Launch,2024-03-16,2024-03-17,3731.0,985290,1117773,0.72,9.31,395,17.04
CM317,336,Giveaway,2024-08-05,2024-08-06,9948.0,739592,842833,4.7,11.46,770,49.98
CM4680,349,Giveaway,2024-02-06,2024-02-10,6920.0,113178,143748,5.0,3.59,426,46.26
CM4065,298,Affiliate,2024-11-16,2024-11-17,1425.0,886922,890650,,2.81,771,29.51
CM1544,291,Product Launch,2024-08-18,2024-08-28,5965.0,754020,763504,2.61,13.75,596,39.35
CM790,323,Giveaway,2024-02-27,2024-02-19,6409.0,813586,880693,5.14,12.58,520,58.83
CM2835,250,Giveaway,2024-03-30,2024-03-20,6292.0,328873,459258,6.11,1.88,662,41.09
CM2478,334,Product Launch,2024-07-11,2024-07-22,9397.0,524897,703877,8.54,5.74,234,56.72
CM2957,319,Product Launch,2024-09-27,2024-10-11,3674.0,25881,223995,5.06,1.69,387,14.73
CM1206,245,Brand Awareness,2024-08-14,2024-08-31,9772.0,442939,556995,3.4,4.55,68,5.81
CM1803,258,Product Launch,2024-12-28,2025-01-03,9177.0,980217,1093119,2.69,4.85,90,59.47
CM918,345,Product Launch,2024-02-21,2024-03-02,558.0,422744,595142,4.84,6.22,588,41.59
CM1805,305,Affiliate,2024-12-28,2024-12-25,3468.0,327512,387935,8.07,0.82,382,14.1
CM711,332,Product Launch,2024-05-25,2024-05-22,7907.0,485284,558415,5.38,2.19,125,58.36
CM3163,157,Affiliate,2024-09-03,2024-09-14,7058.0,964301,1114977,8.77,10.04,85,48.93
CM5089,345,Affiliate,2024-04-19,2024-04-28,1515.0,529451,683961,0.85,6.02,425,54.45
CM4055,203,Affiliate,2024-08-08,2024-08-08,3386.0,107500,283830,5.42,3.21,603,42.2
CM676,241,Giveaway,2024-02-18,2024-03-08,1874.0,735781,834462,6.97,13.83,969,-3.31
CM2294,267,Brand Awareness,2024-03-13,2024-03-22,5777.0,744521,817025,6.26,4.28,387,22.2
CM4674,334,Brand Awareness,2024-01-15,2024-02-03,7575.0,407410,461510,,4.97,227,-1.97
CM1280,313,Brand Awareness,2024-08-13,2024-08-04,5360.0,764536,889470,5.39,14.07,391,19.51
CM988,241,Brand Awareness,2024-10-20,2024-10-13,,213690,317650,5.22,14.92,867,34.59
CM3437,323,Giveaway,2024-09-16,2024-09-12,6243.0,394423,400039,8.46,0.69,774,-8.37
CM2124,328,Affiliate,2024-01-09,2024-01-11,7548.0,922657,962576,4.28,10.81,541,54.73
CM2937,343,Affiliate,2024-08-21,2024-08-18,7044.0,202207,268359,7.76,7.52,273,49.28
CM917,337,Product Launch,2024-03-19,2024-03-13,973.0,76589,226467,7.84,6.29,103,59.75
CM3593,327,Affiliate,2024-10-25,2024-10-30,1358.0,950980,1051407,4.44,12.23,733,23.78
CM3773,218,Giveaway,2024-08-28,2024-09-07,6857.0,78080,240393,,10.83,780,52.13
CM308,338,Affiliate,2024-12-18,2025-01-02,9030.0,26852,210494,6.07,12.45,29,45.23
CM393,172,Product Launch,2024-12-12,2024-12-05,3751.0,71509,165015,4.85,5.06,922,32.31
CM1219,211,Affiliate,2024-03-27,2024-03-28,8200.0,439824,548342,7.05,9.32,423,36.02
CM3503,247,Product Launch,2024-03-31,2024-04-14,3074.0,151161,208079,9.54,3.69,141,34.45
CM3455,330,Affiliate,2024-10-19,2024-10-14,1197.0,52588,62103,3.46,0.99,847,11.89
CM1364,344,Giveaway,2024-08-10,2024-08-22,894.0,889767,1008117,8.24,8.86,559,30.9
CM1090,279,Product Launch,2024-11-14,2024-12-02,8773.0,179751,318709,7.98,8.9,188,-9.24
CM2523,343,Brand Awareness,2024-02-07,2024-01-31,5740.0,839714,972020,,14.09,306,19.05
CM4082,299,Brand Awareness,2024-01-14,2024-01-23,2661.0,278098,306063,3.62,4.84,506,58.19
CM4428,347,Product Launch,2024-04-17,2024-04-11,7475.0,924732,1087840,6.32,4.81,255,-5.84
CM1907,256,Brand Awareness,2024-08-03,2024-07-26,2902.0,116729,226188,3.99,12.01,752,11.01
CM453,350,Brand Awareness,2024-04-23,2024-04-14,5500.0,600952,711612,2.5,1.14,850,27.41
CM5003,344,Product Launch,2024-11-20,2024-11-29,6473.0,191861,251784,1.5,13.71,128,35.8
CM1758,302,Product Launch,2024-01-11,2024-01-26,7361.0,186406,289331,7.41,9.11,975,-5.74
CM3344,344,Product Launch,2024-06-25,2024-07-05,4171.0,807397,878377,,2.35,861,47.85
CM1589,345,Brand Awareness,2024-02-16,2024-02-27,4309.0,674061,864019,2.0,7.27,195,43.24
CM3582,337,Affiliate,2024-06-22,2024-07-07,3414.0,986701,1126785,4.17,9.42,366,
CM4187,341,Affiliate,2024-04-29,2024-05-09,3406.0,321595,477180,2.46,13.57,310,32.3
CM3350,271,Brand Awareness,2024-11-20,2024-11-24,2482.0,814310,938779,2.41,5.4,217,32.2
CM1328,341,Affiliate,2024-07-24,2024-07-17,3464.0,579764,665597,6.83,7.17,310,54.31
CM359,343,Giveaway,2024-08-26,2024-08-17,6424.0,166379,296177,4.57,8.57,534,-7.75
CM1794,297,Affiliate,2024-03-17,2024-03-23,5793.0,990327,1106246,4.32,8.43,201,13.92
CM3853,279,Giveaway,2024-06-02,2024-06-07,9310.0,671179,737962,0.84,4.58,132,19.14
CM4986,340,Giveaway,2024-10-10,2024-10-12,8413.0,341492,392615,,9.87,519,30.93
CM2078,278,Product Launch,2024-08-05,2024-07-26,,376631,548587,9.79,8.17,819,40.24
CM2806,295,Product Launch,2024-09-17,2024-09-11,9703.0,163814,327314,4.4,4.26,871,0.14
CM152,291,Affiliate,2024-12-30,2025-01-08,3382.0,459213,467657,4.0,10.15,617,34.1
CM2437,306,Affiliate,2024-08-12,2024-08-21,6027.0,371063,536293,9.6,8.07,174,13.29
CM511,337,Affiliate,2024-06-02,2024-05-31,6533.0,213056,253962,8.12,10.11,16,-9.52
CM2433,256,Giveaway,2024-04-01,2024-04-09,5499.0,949783,1006483,6.72,9.2,425,30.97
CM4682,314,Brand Awareness,2024-01-26,2024-02-05,9412.0,414621,535192,3.17,10.63,203,
CM4184,328,Product Launch,2024-04-02,2024-03-28,3146.0,947584,981158,2.11,2.74,786,53.21
CM2595,157,Brand Awareness,2024-03-14,2024-03-23,7086.0,8799,13466,5.55,3.34,654,-4.64
CM2846,317,Brand Awareness,2024-02-12,2024-02-27,1594.0,90074,238973,1.45,0.8,452,37.32
CM3403,137,Giveaway,2024-05-21,2024-05-13,6082.0,446729,626499,0.99,10.56,818,13.01
CM1579,278,Affiliate,2024-01-31,2024-01-30,5492.0,687592,869747,4.45,13.51,468,-7.02
CM1607,314,Affiliate,2024-05-15,2024-05-25,9718.0,481853,583878,6.95,14.79,648,47.61
CM1133,324,Giveaway,2024-08-06,2024-08-19,9383.0,959852,1057727,0.76,10.19,479,32.55
CM1197,332,Affiliate,2024-12-12,2024-12-05,1649.0,969032,1033567,3.21,10.57,683,-9.84
CM1569,133,Giveaway,2024-12-22,2024-12-29,2782.0,19069,174501,3.08,2.31,436,27.79
CM643,324,Affiliate,2024-05-07,2024-04-28,1000.0,47475,84386,1.31,9.15,433,51.74
CM1146,334,Brand Awareness,2024-08-05,2024-08-02,1538.0,881597,1072536,4.28,12.96,296,35.02
CM4813,267,Giveaway,2024-01-29,2024-01-20,5298.0,108809,307419,1.5,7.67,775,
CM1855,317,Giveaway,2024-12-02,2024-11-29,9909.0,789106,941021,8.27,0.65,13,0.96
CM130,328,Product Launch,2024-05-25,2024-06-12,,934364,1121305,4.99,8.23,300,22.56
CM825,250,Affiliate,2024-06-29,2024-07-02,4744.0,323233,341156,6.33,9.59,530,
CM4490,292,Affiliate,2024-08-25,2024-09-02,5021.0,985408,1136984,5.49,9.34,230,26.88
CM2328,337,Brand Awareness,2024-01-31,2024-02-06,7556.0,159340,322551,1.32,2.46,580,17.33
CM736,245,Product Launch,2024-12-27,2025-01-05,4339.0,636136,770429,9.19,7.38,343,46.12
CM1526,335,Giveaway,2024-06-28,2024-06-18,8428.0,344990,378446,6.47,2.02,632,5.38
CM2643,343,Brand Awareness,2024-07-22,2024-07-23,5421.0,488242,541582,5.52,13.37,589,1.41
CM2758,333,Affiliate,2024-01-26,2024-02-08,9076.0,521880,702508,8.52,4.39,876,-3.38
CM536,343,Giveaway,2024-11-23,2024-12-08,,327722,450474,6.58,7.12,115,38.34
CM2730,292,Giveaway,2024-03-13,2024-03-26,5003.0,260717,459733,7.87,5.94,405,57.84
CM1012,133,Brand Awareness,2024-03-25,2024-03-30,8969.0,152863,252193,5.3,4.67,160,53.95
CM4453,137,Giveaway,2024-06-14,2024-06-12,8699.0,508418,617571,2.59,14.89,31,25.5
CM1688,203,Affiliate,2024-07-07,2024-07-06,6530.0,709930,809273,8.7,9.03,839,59.63
CM4394,204,Brand Awareness,2024-01-09,2024-01-17,5685.0,687954,707495,9.54,11.87,909,5.39
CM4751,335,Product Launch,2024-07-16,2024-07-25,1254.0,180586,224585,6.5,10.48,840,
CM3648,319,Product Launch,2024-05-23,2024-05-14,3826.0,705600,803531,,7.42,892,52.89
CM1690,263,Giveaway,2024-07-30,2024-08-09,5667.0,705039,769744,5.92,11.05,769,54.87
CM2537,260,Brand Awareness,2024-08-30,2024-09-03,9428.0,736712,800018,6.35,9.68,640,19.41
CM1869,241,Giveaway,2024-03-19,2024-03-20,1783.0,640951,725432,6.57,11.01,448,28.06
CM1338,349,Affiliate,2024-10-31,2024-11-19,3419.0,987110,1119113,3.58,2.79,48,31.4
CM1003,296,Giveaway,2024-03-16,2024-03-21,9650.0,563367,757727,9.77,1.58,268,4.87
CM3486,329,Brand Awareness,2024-08-07,2024-08-25,4254.0,622371,748393,6.39,13.56,152,-7.56
CM4981,245,Brand Awareness,2024-10-02,2024-10-15,2457.0,610349,695644,1.45,11.93,322,40.35
CM4693,324,Giveaway,2024-02-11,2024-02-08,4064.0,517952,565541,6.21,2.19,857,45.25
CM607,323,Product Launch,2024-10-23,2024-10-17,,794287,873239,5.47,10.98,616,8.56
CM3534,332,Product Launch,2024-09-13,2024-09-07,1347.0,656080,774864,4.91,13.63,650,56.3
CM283,320,Affiliate,2024-12-02,2024-11-29,5007.0,752245,789901,4.65,10.05,766,6.39
CM1846,338,Brand Awareness,2024-07-23,2024-07-31,3591.0,475677,585397,8.27,7.47,932,38.2
CM1597,163,Affiliate,2024-03-26,2024-03-19,,335561,527978,1.27,12.81,782,51.54
CM2703,299,Brand Awareness,2024-09-25,2024-10-05,3809.0,624181,707675,2.54,8.38,155,29.88
CM421,306,Affiliate,2024-12-23,2024-12-26,804.0,292220,345853,8.12,5.14,267,37.0
CM4518,329,Giveaway,2024-07-14,2024-07-06,4019.0,566970,643974,6.65,14.3,26,54.46
CM3538,337,Affiliate,2024-02-07,2024-02-21,8578.0,629296,698779,1.64,13.02,894,2.05
CM2301,341,Affiliate,2024-11-10,2024-11-18,9474.0,887518,912912,1.08,4.69,414,7.14
CM4845,328,Product Launch,2024-09-07,2024-09-04,5253.0,38669,123728,2.34,13.38,813,20.81
CM3858,298,Product Launch,2024-07-26,2024-08-07,2849.0,470259,583514,7.54,8.74,730,50.69
CM3531,247,Brand Awareness,2024-11-01,2024-11-05,1520.0,714839,827407,6.84,4.76,230,19.74
CM2936,241,Product Launch,2024-06-08,2024-05-30,,766573,941319,2.13,10.6,265,15.12
CM1651,329,Brand Awareness,2024-07-02,2024-07-01,2839.0,63146,66968,4.73,2.06,945,15.07
CM4676,295,Affiliate,2024-06-27,2024-06-22,7459.0,190468,390410,7.66,13.12,173,49.8
CM1246,343,Giveaway,2024-07-20,2024-08-08,1108.0,958397,1134330,4.43,10.71,359,57.24
CM5009,133,Brand Awareness,2024-06-20,2024-06-10,3855.0,62240,88583,0.87,5.5,922,10.35
CM2580,157,Brand Awareness,2024-09-13,2024-09-11,631.0,357817,521910,,8.11,448,-4.02
CM144,163,Product Launch,2024-10-14,2024-10-26,5268.0,758530,898238,3.27,6.87,113,22.58
CM4799,336,Giveaway,2024-07-02,2024-07-08,3846.0,926894,1026130,,0.38,842,55.13
CM4219,295,Product Launch,2024-02-03,2024-02-19,6406.0,635936,721541,5.2,10.06,520,8.54
CM3945,328,Giveaway,2024-05-17,2024-05-20,8238.0,496741,529269,9.24,13.69,840,45.76
CM3841,299,Product Launch,2024-09-22,2024-10-07,7201.0,141229,260300,4.02,5.03,477,
CM1478,172,Giveaway,2024-03-19,2024-03-31,2539.0,895737,972333,6.35,3.59,837,16.82
CM2073,273,Affiliate,2024-07-29,2024-08-10,1810.0,23507,31642,4.56,7.61,464,18.69
CM3996,324,Brand Awareness,2024-01-01,2024-01-09,5362.0,244349,403981,3.16,4.83,889,11.67
CM513,157,Brand Awareness,2024-03-20,2024-03-29,7649.0,730462,804660,9.76,6.19,186,41.38
CM4867,335,Brand Awareness,2024-08-13,2024-08-17,5603.0,240901,425899,4.35,4.91,733,52.05
CM1507,322,Brand Awareness,2024-06-25,2024-07-04,9090.0,852215,875205,3.91,0.65,104,33.47
CM2507,317,Product Launch,2024-01-20,2024-01-26,3078.0,671432,697373,6.55,1.29,195,-7.03
CM901,341,Affiliate,2024-09-02,2024-09-12,5989.0,298567,365394,8.88,5.06,720,31.37
CM1388,345,Giveaway,2024-04-28,2024-04-28,1678.0,29615,69970,1.7,4.81,698,10.63
CM1658,342,Product Launch,2024-05-16,2024-05-24,2771.0,314894,435773,9.79,5.04,431,59.39
CM2419,345,Giveaway,2024-01-16,2024-01-16,8325.0,171932,295297,4.23,4.97,428,30.63
CM2698,302,Product Launch,2024-11-08,2024-11-01,,11165,140979,9.74,5.8,152,8.02
CM1829,133,Affiliate,2024-12-22,2025-01-06,8154.0,465193,620727,5.22,4.0,765,51.47
CM3802,342,Affiliate,2024-07-13,2024-08-01,9477.0,523126,692473,7.22,12.9,769,-1.78
CM356,346,Giveaway,2024-10-15,2024-11-02,3807.0,300615,305691,7.14,6.9,681,59.27
CM3710,320,Affiliate,2024-06-11,2024-06-27,8446.0,526651,726578,7.21,1.23,274,
CM1986,211,Product Launch,2024-10-24,2024-10-27,1035.0,40530,160677,9.02,9.74,837,32.37
CM1251,342,Brand Awareness,2024-03-18,2024-03-28,4216.0,913916,918448,6.28,11.65,398,49.22
CM2551,313,Product Launch,2024-01-25,2024-01-29,6330.0,737699,800052,6.13,8.0,959,17.67
